epoch,elapsed_sec,rmse_loss,lambda_hint
0,1.160,1.56295649e-01,1.000000
1,2.261,1.35250792e-01,0.900000
2,3.284,1.19596316e-01,0.800000
3,4.303,1.05244019e-01,0.700000
4,5.463,9.12769171e-02,0.600000
5,6.485,7.73494317e-02,0.500000
6,7.564,6.34962260e-02,0.400000
7,8.588,4.97151280e-02,0.300000
8,9.611,3.58311036e-02,0.200000
9,10.638,2.46449325e-02,0.100000
10,11.788,2.65775088e-02,0.000000
11,13.234,1.38811439e-02,0.000000
12,14.588,1.01866922e-02,0.000000
13,15.695,8.43253744e-03,0.000000
14,17.165,7.31116740e-03,0.000000
15,18.257,6.50835759e-03,0.000000
16,19.341,5.89185434e-03,0.000000
17,20.378,5.40243340e-03,0.000000
18,21.420,4.99845366e-03,0.000000
19,22.453,4.66016121e-03,0.000000
20,23.479,4.37066664e-03,0.000000
21,24.558,4.11941742e-03,0.000000
22,25.584,3.89875610e-03,0.000000
23,26.609,3.70303893e-03,0.000000
24,27.620,3.52823579e-03,0.000000
25,28.640,3.37057834e-03,0.000000
26,29.726,3.22770057e-03,0.000000
27,30.748,3.09759049e-03,0.000000
28,31.763,2.97805169e-03,0.000000
29,32.782,2.86817992e-03,0.000000
30,33.801,2.76663422e-03,0.000000
31,34.885,2.67253911e-03,0.000000
32,35.904,2.58479138e-03,0.000000
33,36.918,2.50301722e-03,0.000000
34,37.946,2.42638893e-03,0.000000
35,38.958,2.35455241e-03,0.000000
36,40.044,2.28684006e-03,0.000000
37,41.075,2.22319968e-03,0.000000
38,42.109,2.16286705e-03,0.000000
39,43.149,2.10597139e-03,0.000000
40,44.192,2.05184754e-03,0.000000
41,45.284,2.00058183e-03,0.000000
42,46.307,1.95173139e-03,0.000000
43,47.387,1.90518442e-03,0.000000
44,48.474,1.86081902e-03,0.000000
45,49.655,1.81846934e-03,0.000000
46,50.862,1.77789916e-03,0.000000
47,51.979,1.73911392e-03,0.000000
48,53.082,1.70192818e-03,0.000000
49,54.110,1.66617777e-03,0.000000
50,55.145,1.63194042e-03,0.000000
51,56.238,1.59896235e-03,0.000000
52,57.273,1.56722174e-03,0.000000
53,58.347,1.53668545e-03,0.000000
54,59.425,1.50723676e-03,0.000000
55,60.517,1.47879179e-03,0.000000
56,61.654,1.45137141e-03,0.000000
57,62.703,1.42487115e-03,0.000000
58,63.730,1.39926241e-03,0.000000
59,64.803,1.37446098e-03,0.000000
60,65.940,1.35046053e-03,0.000000
61,67.036,1.32720709e-03,0.000000
62,68.141,1.30469216e-03,0.000000
63,69.210,1.28282310e-03,0.000000
64,70.327,1.26161020e-03,0.000000
65,71.357,1.24103618e-03,0.000000
